ID	Description	GeneRatio	pvalue	p.adjust	geneID	method	gene.name	list.name	list.count
GO:0099572	postsynaptic specialization	24/350	7.84749894334993e-07	0.000155420046462938	56899/10458/815/1630/1740/9229/9228/58512/22839/2560/29899/2890/2897/2911/9455/22871/57555/4851/5142/5590/81858/6695/8831/7249	GO	ANKS1B/BAIAP2/CAMK2A/DCC/DLG2/DLGAP1/DLGAP2/DLGAP3/DLGAP4/GABRB1/GPSM2/GRIA1/GRIK1/GRM1/HOMER2/NLGN1/NLGN2/NOTCH1/PDE4B/PRKCZ/SHARPIN/SPOCK1/SYNGAP1/TSC2	PL/Zhang	2
GO:0019774	proteasome core complex, beta-subunit complex	5/350	1.08432590555538e-06	0.000155420046462938	5691/5692/5693/5695/5698	GO	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9	Zhang/PL	2
GO:0032279	asymmetric synapse	22/350	3.85402223725557e-06	0.000414307390504974	56899/10458/815/1630/1740/9229/9228/58512/29899/2890/2897/2911/2917/9455/22871/4851/5142/5590/81858/6695/8831/7249	GO	ANKS1B/BAIAP2/CAMK2A/DCC/DLG2/DLGAP1/DLGAP2/DLGAP3/GPSM2/GRIA1/GRIK1/GRM1/GRM7/HOMER2/NLGN1/NOTCH1/PDE4B/PRKCZ/SHARPIN/SPOCK1/SYNGAP1/TSC2	PL/Zhang	2
GO:0014069	postsynaptic density	21/350	6.689962642648e-06	0.000575336787267728	56899/10458/815/1630/1740/9229/9228/58512/29899/2890/2897/2911/9455/22871/4851/5142/5590/81858/6695/8831/7249	GO	ANKS1B/BAIAP2/CAMK2A/DCC/DLG2/DLGAP1/DLGAP2/DLGAP3/GPSM2/GRIA1/GRIK1/GRM1/HOMER2/NLGN1/NOTCH1/PDE4B/PRKCZ/SHARPIN/SPOCK1/SYNGAP1/TSC2	PL/Zhang	2
GO:0000502	proteasome complex	8/350	3.03309453245069e-05	0.00193739418410346	5691/5692/5693/5695/5698/5702/5705/5713	GO	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
GO:0005839	proteasome core complex	5/350	3.15389750900563e-05	0.00193739418410346	5691/5692/5693/5695/5698	GO	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9	Zhang/PL	2
GO:0043198	dendritic shaft	6/350	0.000124770572354745	0.00607707518673236	10458/2550/2890/2917/57555/8831	GO	BAIAP2/GABBR1/GRIA1/GRM7/NLGN2/SYNGAP1	Zhang/PL	2
GO:0031594	neuromuscular junction	8/350	0.000127194596931608	0.00607707518673236	1399/1740/58512/22839/2890/22871/6695/7402	GO	CRKL/DLG2/DLGAP3/DLGAP4/GRIA1/NLGN1/SPOCK1/UTRN	Zhang/PL	2
GO:0071339	MLL1 complex	5/350	0.0002904312940649	0.0124885456447907	57680/1876/284058/4149/27043	GO	CHD8/E2F6/KANSL1/MAX/PELP1	Zhang/PL	2
GO:0044665	MLL1/2 complex	5/350	0.000338826457521476	0.0132450342485668	57680/1876/284058/4149/27043	GO	CHD8/E2F6/KANSL1/MAX/PELP1	Zhang/PL	2
GO:0034704	calcium channel complex	7/350	0.000428838517543179	0.0153667135452973	9472/773/776/55799/5142/6262/6263	GO	AKAP6/CACNA1A/CACNA1D/CACNA2D3/PDE4B/RYR2/RYR3	PL/Zhang	2
GO:1905369	endopeptidase complex	8/350	0.000571597847480558	0.0189066980320492	5691/5692/5693/5695/5698/5702/5705/5713	GO	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
GO:0098685	Schaffer collateral - CA1 synapse	8/350	0.000655025363805247	0.0201186361740183	10458/1630/2550/2560/2911/4851/5590/5789	GO	BAIAP2/DCC/GABBR1/GABRB1/GRM1/NOTCH1/PRKCZ/PTPRD	Zhang/PL	2
GO:0030175	filopodium	8/350	0.000965796436235377	0.0276861645054141	10458/23191/2047/10160/22871/9722/57451/7402	GO	BAIAP2/CYFIP1/EPHB1/FARP1/NLGN1/NOS1AP/TENM2/UTRN	Zhang/PL	2
GO:0097060	synaptic membrane	19/350	0.00126499341684983	0.0339966980778391	10458/55799/1399/1630/1740/10160/2550/2560/2890/2897/2911/2917/5818/22871/57555/4851/5789/57451/7402	GO	BAIAP2/CACNA2D3/CRKL/DCC/DLG2/FARP1/GABBR1/GABRB1/GRIA1/GRIK1/GRM1/GRM7/NECTIN1/NLGN1/NLGN2/NOTCH1/PTPRD/TENM2/UTRN	Zhang/PL	2
